	95	99
50	-2.74~1.06	-3.91~1.24
60	-2.68~1.13	-3.81~1.34
70	-2.64~1.19	-3.73~1.42
80	-2.60~1.24	-3.67~1.48
90	-2.57~1.28	-3.61~1.54
100	-2.54~1.31	-3.57~1.59
150	-2.45~1.42	-3.41~1.75
200	-2.39~1.50	-3.30~1.85
250	-2.35~1.54	-3.23~1.93
300	-2.32~1.53	-3.17~1.98
350	-2.29~1.61	-3.13~2.03
400	-2.27~1.63	-3.09~2.06
450	-2.25~1.65	-3.06~2.09
500	-2.24~1.67	-3.04~2.11
550	-2.23~1.68	-3.02~2.14
600	-2.22~1.69	-3.00~2.15
650	-2.21~1.70	-2.98~2.17
700	-2.20~1.71	-2.97~2.18
750	-2.19~1.72	-2.96~2.20
800	-2.18~1.73	-2.94~2.21
850	-2.18~1.74	-2.93~2.22
900	-2.17~1.74	-2.92~2.23
950	-2.16~1.75	-2.91~2.24
1000	-2.16~1.75	-2.91~2.25
