	95	99
3	0.767	0.753
4	0.748	0.687
5	0.762	0.686
6	0.788	0.713
7	0.803	0.73
8	0.818	0.749
9	0.829	0.764
10	0.842	0.781
11	0.85	0.792
12	0.859	0.805
13	0.866	0.814
14	0.874	0.825
15	0.881	0.835
16	0.887	0.844
17	0.892	0.851
18	0.897	0.858
19	0.901	0.863
20	0.905	0.868
21	0.908	0.873
22	0.911	0.878
23	0.914	0.881
24	0.916	0.884
25	0.918	0.888
26	0.92	0.891
27	0.923	0.894
28	0.924	0.896
29	0.926	0.898
30	0.927	0.9
31	0.929	0.902
32	0.93	0.904
33	0.931	0.906
34	0.933	0.908
35	0.934	0.91
36	0.935	0.912
37	0.936	0.914
38	0.938	0.916
39	0.939	0.917
40	0.94	0.919
41	0.941	0.92
42	0.942	0.922
43	0.943	0.923
44	0.944	0.924
45	0.945	0.926
46	0.945	0.927
47	0.946	0.928
48	0.947	0.929
49	0.947	0.929
50	0.947	0.93
