	1	5
3	1.154685 	1.154305 
4	1.496250 	1.481250 
5	1.763678 	1.715037 
6	1.972817 	1.887145 
7	2.139106 	2.019969 
8	2.274365 	2.126645 
9	2.386810 	2.215004 
10	2.482083 	2.289954 
11	2.564121 	2.354730 
12	2.635733 	2.411560 
13	2.698972 	2.462033 
14	2.755372 	2.507321 
15	2.806105 	2.548308 
16	2.852080 	2.585676 
17	2.894014 	2.619964 
18	2.932482 	2.651599 
19	2.967951 	2.680931 
20	3.000804 	2.708246 
21	3.031358 	2.733780 
22	3.059879 	2.757735 
23	3.086592 	2.780277 
24	3.111687 	2.801551 
25	3.135328 	2.821681 
26	3.157656 	2.840774 
27	3.178795 	2.858923 
28	3.198851 	2.876209 
29	3.217918 	2.892705 
30	3.236078 	2.908473 
31	3.253406 	2.923571 
32	3.269966 	2.938048 
33	3.285816 	2.951949 
34	3.301008 	2.965315 
35	3.315590 	2.978183 
36	3.329603 	2.990585 
37	3.343086 	3.002552 
38	3.356073 	3.014109 
39	3.368596 	3.025284 
40	3.380683 	3.036097 
41	3.392362 	3.046571 
42	3.403655 	3.056723 
43	3.414586 	3.066572 
44	3.425173 	3.076135 
45	3.435437 	3.085425 
46	3.445394 	3.094456 
47	3.455061 	3.103243 
48	3.464452 	3.111796 
49	3.473582 	3.120128 
50	3.482462 	3.128247 
51	3.491105 	3.136165 
52	3.499522 	3.143890 
53	3.507724 	3.151430 
54	3.515720 	3.158794 
55	3.523519 	3.165989 
56	3.531131 	3.173022 
57	3.538562 	3.179900 
58	3.545821 	3.186628 
59	3.552914 	3.193214 
60	3.559849 	3.199662 
61	3.566631 	3.205977 
62	3.573267 	3.212165 
63	3.579762 	3.218230 
64	3.586122 	3.224177 
65	3.592351 	3.230010 
66	3.598455 	3.235733 
67	3.604437 	3.241349 
68	3.610303 	3.246863 
69	3.616056 	3.252277 
70	3.621700 	3.257596 
71	3.627239 	3.262821 
72	3.632677 	3.267957 
73	3.638016 	3.273006 
74	3.643260 	3.277970 
75	3.648412 	3.282852 
76	3.653475 	3.287656 
77	3.658452 	3.292382 
78	3.663345 	3.297033 
79	3.668156 	3.301613 
80	3.672890 	3.306121 
81	3.677546 	3.310562 
82	3.682129 	3.314935 
83	3.686639 	3.319245 
84	3.691080 	3.323491 
85	3.695452 	3.327676 
86	3.699758 	3.331801 
87	3.704000 	3.335869 
88	3.708180 	3.339880 
89	3.712298 	3.343836 
90	3.716358 	3.347738 
91	3.720359 	3.351588 
92	3.724305 	3.355387 
93	3.728195 	3.359136 
94	3.732032 	3.362836 
95	3.735817 	3.366490 
96	3.739551 	3.370097 
97	3.743236 	3.373658 
98	3.746872 	3.377176 
99	3.750461 	3.380651 
100	3.754004 	3.384083 
101	3.757502 	3.387474 
102	3.760956 	3.390825 
103	3.764368 	3.394137 
104	3.767737 	3.397410 
105	3.771065 	3.400645 
106	3.774353 	3.403844 
107	3.777602 	3.407006 
108	3.780812 	3.410133 
109	3.783985 	3.413225 
110	3.787121 	3.416284 
111	3.790222 	3.419309 
112	3.793287 	3.422302 
113	3.796317 	3.425263 
114	3.799314 	3.428193 
115	3.802278 	3.431092 
116	3.805209 	3.433961 
117	3.808109 	3.436800 
118	3.810977 	3.439611 
119	3.813815 	3.442394 
120	3.816623 	3.445148 
121	3.819402 	3.447875 
122	3.822152 	3.450576 
123	3.824874 	3.453250 
124	3.827568 	3.455899 
125	3.830236 	3.458522 
126	3.832876 	3.461120 
127	3.835490 	3.463694 
128	3.838079 	3.466243 
129	3.840642 	3.468769 
130	3.843181 	3.471272 
131	3.845695 	3.473752 
132	3.848185 	3.476210 
133	3.850652 	3.478646 
134	3.853096 	3.481060 
135	3.855517 	3.483453 
136	3.857916 	3.485824 
137	3.860293 	3.488176 
138	3.862649 	3.490507 
139	3.864983 	3.492818 
140	3.867297 	3.495109 
141	3.869590 	3.497381 
142	3.871863 	3.499634 
143	3.874116 	3.501868 
